epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1467.42,0.83035,2.51684,1.09596,0.83033,0.75493,0.85375,0.66763,0.80149,1.90323,1.05682,0.000414663,0.000414663,0.000414663
2,2923.73,0.88357,1.54567,1.11984,0.70142,0.59314,0.67732,0.49584,0.97625,2.16506,1.24457,0.000749028,0.000749028,0.000749028
3,4372.4,0.90249,1.1979,1.10987,0.85238,0.79601,0.87307,0.64907,0.93663,1.13381,1.16,0.00100089,0.00100089,0.00100089
4,5824.93,0.87242,0.94328,1.09564,0.90278,0.84617,0.92972,0.71476,0.83537,0.92897,1.0492,0.00087875,0.00087875,0.00087875
5,7284.48,0.82436,0.78546,1.06145,0.90235,0.87021,0.9453,0.75686,0.74383,0.68557,0.99896,0.000755,0.000755,0.000755
6,8744.21,0.76596,0.66918,1.02393,0.9544,0.92313,0.96678,0.77853,0.73687,0.58251,0.98843,0.00063125,0.00063125,0.00063125
7,10204,0.73048,0.5679,1.00422,0.94625,0.9166,0.97498,0.79784,0.69623,0.52287,0.95248,0.0005075,0.0005075,0.0005075
8,11670.6,0.70718,0.52481,0.99036,0.96102,0.93591,0.98059,0.81396,0.65162,0.46406,0.934,0.00038375,0.00038375,0.00038375
9,13141,0.66859,0.44965,0.97521,0.97058,0.95283,0.98387,0.82471,0.63343,0.42152,0.91875,0.00026,0.00026,0.00026
10,14606.5,0.63805,0.41728,0.94964,0.96483,0.95769,0.98636,0.83245,0.60866,0.38936,0.90717,0.00013625,0.00013625,0.00013625
